Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2023-10-05 08:26:00,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,2023-10-05 08:26:00,3.39,17850,United Kingdom
536366,84406B,CREAM CUPID HEARTS COAT HANGER,8,2023-10-12 09:01:00,2.75,17850,United Kingdom
536367,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2023-10-20 10:15:00,3.39,13047,United Kingdom
536368,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2023-11-02 11:22:00,1.69,13047,United Kingdom
536369,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-11-08 12:05:00,7.65,13047,France
536370,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2023-11-15 14:30:00,4.25,12583,France
536371,22633,HAND WARMER UNION JACK,6,2023-11-22 09:45:00,1.85,17850,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,6,2023-12-01 10:10:00,1.85,17850,United Kingdom
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2023-12-05 11:00:00,2.55,14688,United Kingdom
536374,71053,WHITE METAL LANTERN,4,2023-12-10 13:20:00,3.39,14688,United Kingdom
536375,84406B,CREAM CUPID HEARTS COAT HANGER,10,2023-12-18 15:40:00,2.75,17850,United Kingdom
536376,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2024-01-03 09:05:00,3.39,13047,United Kingdom
536377,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2024-01-12 10:30:00,1.69,13047,United Kingdom
536378,22752,SET 7 BABUSHKA NESTING BOXES,3,2024-01-20 12:00:00,7.65,12583,France
536379,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2024-01-28 14:15:00,4.25,12583,France
536380,22633,HAND WARMER UNION JACK,12,2024-02-05 08:50:00,1.85,17850,United Kingdom
536381,22632,HAND WARMER RED POLKA DOT,8,2024-02-14 09:20:00,1.85,17850,United Kingdom
536382,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2024-02-22 11:45:00,2.55,14688,United Kingdom
536383,71053,WHITE METAL LANTERN,8,2024-03-01 13:00:00,3.39,14688,United Kingdom
536384,84406B,CREAM CUPID HEARTS COAT HANGER,15,2024-03-08 15:10:00,2.75,17850,United Kingdom
536385,84879,ASSORTED COLOUR BIRD ORNAMENT,50,2024-03-15 10:00:00,1.69,13047,United Kingdom
536386,22752,SET 7 BABUSHKA NESTING BOXES,5,2024-03-22 12:30:00,7.65,12583,France
536387,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2024-03-28 16:00:00,4.25,12583,France
536388,22633,HAND WARMER UNION JACK,20,2024-03-30 09:30:00,1.85,17850,United Kingdom
536389,85123A,,6,2024-03-30 10:00:00,2.55,17850,United Kingdom
536390,71053,WHITE METAL LANTERN,2,2024-03-30 10:05:00,,14688,United Kingdom
536391,C22632,HAND WARMER RED POLKA DOT,-3,2024-03-29 11:00:00,1.85,17850,United Kingdom
536392,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2024-03-31 17:45:00,3.39,13047,United Kingdom
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2023-07-01 08:00:00,2.55,17850,United Kingdom
